sateid,date,x,y,z,pro,clk
G16,2020-06-20-00-35-00,-20775888.503,2653697.644,16377593.296,22871852.3836,-0.000172572
G21,2020-06-20-00-35-00,-14461209.402,-7424772.786,21739802.519,25409805.4775,1.37231E-05
G26,2020-06-20-00-35-00,-25812870.138,-4021468.671,5377065.322,25228280.6334,0.000228538
G27,2020-06-20-00-35-00,-13198977.442,7969749.392,21434599.817,21540317.4777,-0.000324992
C01,2020-06-20-00-40-00,-34350897.057,24481752.811,603542.553,37733823.4146,-0.000402371
C02,2020-06-20-00-40-00,4413757.963,41902023.381,-1403288.985,37702267.3836,0.000270924
C03,2020-06-20-00-40-00,-14703666.549,39488295.604,-626375.498,36598122.6096,0.000855614
C04,2020-06-20-00-40-00,-39582962.02,14508356.674,329961.947,38649805.9146,-0.000156113
C05,2020-06-20-00-40-00,21919361.442,35986318.068,-1099601.75,39695047.1255,-0.000487168
C06,2020-06-20-00-40-00,-9974906.194,36054553.754,-18621580.403,38506958.0946,0.000758506
C07,2020-06-20-00-40-00,-13986231.711,22709596.792,32809677.636,36405401.9537,3.25961E-05
C08,2020-06-20-00-40-00,-25342624.171,30320326.396,-15088513.336,38929199.0316,-0.000322251
C09,2020-06-20-00-40-00,102655.171,41799741.444,-3167063.034,37234803.5087,0.000621559
C10,2020-06-20-00-40-00,3233085.547,27819036.016,31797238.774,37057825.7427,-0.000257846
C12,2020-06-20-00-40-00,-1102298.533,27541809.776,-4420668.164,23704428.2346,0.000406155
C16,2020-06-20-00-40-00,-7702195.295,37713074.311,-16910516.136,38971549.7586,-0.000614063
C24,2020-06-20-00-40-00,6833540.613,14674081.286,22729530.647,23840746.7587,-0.000787224
C26,2020-06-20-00-40-00,-12095606.136,18378382.492,17180010.94,21464431.0168,0.000724535
C29,2020-06-20-00-40-00,-14775583.875,-7482509.112,22450032.767,26039340.3915,0.000244815
G01,2020-06-20-00-40-00,-12418180.287,20700477.932,-10908571.623,23421759.7196,1.26326E-05
G04,2020-06-20-00-40-00,-1189521.341,25293896.169,-7948212.163,23216768.3986,-0.000104629
G07,2020-06-20-00-40-00,4742304.506,15746886.537,21075648.295,22081985.9847,-0.000308436
G08,2020-06-20-00-40-00,-8151656.934,18187758.903,17436841.668,20269670.1028,-3.81465E-05
G09,2020-06-20-00-40-00,7872121.183,25178376.901,2964962.513,22657250.7117,-0.000239372
G11,2020-06-20-00-40-00,-11889029.498,23653873.152,3217189.417,21052381.7737,-0.00024394
G16,2020-06-20-00-40-00,-21324249.171,2367546.153,15725140.54,22987008.5866,-0.000172573
G26,2020-06-20-00-40-00,-25966896.803,-4161838.019,4463027.179,25360735.1255,0.000228541
G27,2020-06-20-00-40-00,-13379030.418,7158888.521,21616975.957,21691133.4617,-0.000324995
C01,2020-06-20-00-45-00,-34350204.766,24482354.53,594300.953,37734185.4776,-0.000402361
C02,2020-06-20-00-45-00,4412991.06,41902338.24,-1397888.516,37701780.9386,0.000270917
C03,2020-06-20-00-45-00,-14704412.625,39487708.08,-606137.612,36595719.1417,0.00085561
C04,2020-06-20-00-45-00,-39582639.706,14508021.151,341303.009,38648563.0636,-0.000156106
C05,2020-06-20-00-45-00,21918519.785,35986678.377,-1098848.34,39694738.3285,-0.000487188
C06,2020-06-20-00-45-00,-9694901.203,35799018.173,-19245099.644,38604829.6416,0.000758509
C07,2020-06-20-00-45-00,-14322428.464,22642218.782,32702506.759,36395409.8837,3.25868E-05
C08,2020-06-20-00-45-00,-25233100.943,30763259.356,-14366588.787,38821787.8286,-0.000322258
C09,2020-06-20-00-45-00,473693.526,41729350.151,-3916837.991,37326482.1337,0.000621567
C10,2020-06-20-00-45-00,2953025.889,27617394.475,31993958.957,37045827.0087,-0.000257843
